no,no_pendaftaran_kipk,no_bantuan_sosial,nama,prodi,nik,no_kartu_keluarga,nisn,asal_sekolah,status_dtsen,jumlah_tanggungan,jumlah_orang_rumah,pekerjaan_ayah,pekerjaan_ibu,penghasilan_ayah,penghasilan_ibu,kab_kota,provinsi,alamat,pbb,daya_listrik,no_hp,email,koordinat,latitude,longitude,skor_total,ranking,created_at,status_seleksi,catatan_admin,updated_at,jalur_masuk,hasil_seleksi
,2326938868531952,BAN-00017,Wini Susanti,Sistem Informasi,0000003201000017,0000003271000017,0020040118,SMA Negeri 3 Bandung,Proses Verifikasi,2,4,PNS,Petani,2200000,2000000,Makassar,Sulawesi Selatan,Jl. Diponegoro No. 018,17000000,1300 VA,62-0000000025,kandidat00017@email.com,"-6.2088,-106.8286",-6.1918,-106.8286,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBT,
,5120307533600193,BAN-00018,Uswatun Putri,Teknik Mesin,0000003201000018,0000003271000018,0020040119,SMA Negeri 2 Surabaya,Tersertifikasi,3,5,Pensiunan,Ibu Rumah Tangga,2300000,2100000,Denpasar,Bali,Jl. Gajah Mada No. 019,18000000,2200 VA,62-0000000026,kandidat00018@email.com,"-6.2088,-106.8276",-6.1908,-106.8276,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBT,
,5116740541417954,BAN-00019,Ganda Dewi,Manajemen,0000003201000019,0000003271000019,0020040120,SMA Negeri 1 Medan,Tidak Tersertifikasi,4,6,Pengusaha,Pedagang,2400000,2200000,Banjarmasin,Kalimantan Selatan,Jl. Ahmad Yani No. 020,19000000,3600 VA,62-0000000027,kandidat00019@email.com,"-6.2088,-106.8266",-6.1898,-106.8266,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,SNBT,
,7635708620804110,BAN-00020,Putri Setiawan,Teknik Informatika,0000003201000020,0000003271000020,0020040121,SMA Negeri 5 Semarang,Proses Verifikasi,0,3,Buruh,Karyawan Swasta,2500000,2300000,Jakarta Pusat,DKI Jakarta,Jl. Sudirman No. 021,20000000,900 VA,62-0000000028,kandidat00020@email.com,"-6.2088,-106.8256",-6.1888,-106.8256,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,SNBT,
,2052938194658956,BAN-00021,Maya Susanti,Teknik Elektro,0000003201000021,0000003271000021,0020040122,SMA Negeri 2 Yogyakarta,Tersertifikasi,1,4,Karyawan Swasta,PNS,2600000,2400000,Bandung,Jawa Barat,Jl. Thamrin No. 022,21000000,1300 VA,62-0000000029,kandidat00021@email.com,"-6.2088,-106.8246",-6.1878,-106.8246,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBT,
,7833729854095306,BAN-00022,Hani Wahyuni,Sistem Informasi,0000003201000022,0000003271000022,0020040123,SMA Negeri 1 Palembang,Tidak Tersertifikasi,2,5,Petani,Wiraswasta,2700000,2500000,Surabaya,Jawa Timur,Jl. Gatot Subroto No. 023,22000000,2200 VA,62-0000000030,kandidat00022@email.com,"-6.2088,-106.8236",-6.1868,-106.8236,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBT,
,8078131478577057,BAN-00023,Qori Hadiyah,Teknik Mesin,0000003201000023,0000003271000023,0020040124,SMA Negeri 4 Makassar,Proses Verifikasi,3,6,Wiraswasta,Petani,2800000,2600000,Medan,Sumatera Utara,Jl. Jenderal Soedirman No. 024,23000000,3600 VA,62-0000000031,kandidat00023@email.com,"-6.2088,-106.8226",-6.1858,-106.8226,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,SNBT,
,5237848597957640,BAN-00024,Dian Satria,Manajemen,0000003201000024,0000003271000024,0020040125,SMA Negeri 1 Jakarta,Tersertifikasi,4,3,PNS,Ibu Rumah Tangga,2900000,2700000,Semarang,Jawa Tengah,Jl. Merdeka No. 025,24000000,900 VA,62-0000000032,kandidat00024@email.com,"-6.2088,-106.8216",-6.1848,-106.8216,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,SNBT,
,8226006657161290,BAN-00025,Siti Santoso,Teknik Informatika,0000003201000025,0000003271000025,0020040126,SMA Negeri 3 Bandung,Tidak Tersertifikasi,0,4,Pensiunan,Pedagang,3000000,2800000,Yogyakarta,DI Yogyakarta,Jl. Diponegoro No. 026,25000000,1300 VA,62-0000000033,kandidat00025@email.com,"-6.2088,-106.8206",-6.1838,-106.8206,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBT,
,9305746603016344,BAN-00026,Laras Hasanah,Teknik Elektro,0000003201000026,0000003271000026,0020040127,SMA Negeri 2 Surabaya,Proses Verifikasi,1,5,Pengusaha,Karyawan Swasta,3100000,2900000,Palembang,Sumatera Selatan,Jl. Gajah Mada No. 027,26000000,2200 VA,62-0000000034,kandidat00026@email.com,"-6.2088,-106.8196",-6.1828,-106.8196,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBT,
,7772206786297426,BAN-00027,Yunita Hadiyah,Sistem Informasi,0000003201000027,0000003271000027,0020040128,SMA Negeri 1 Medan,Tersertifikasi,2,6,Buruh,PNS,3200000,3000000,Makassar,Sulawesi Selatan,Jl. Ahmad Yani No. 028,27000000,3600 VA,62-0000000035,kandidat00027@email.com,"-6.2088,-106.8186",-6.1818,-106.8186,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,SNBT,
,4908038681434331,BAN-00028,Doni Oktaviani,Teknik Mesin,0000003201000028,0000003271000028,0020040129,SMA Negeri 5 Semarang,Tidak Tersertifikasi,3,3,Karyawan Swasta,Wiraswasta,3300000,3100000,Denpasar,Bali,Jl. Sudirman No. 029,28000000,900 VA,62-0000000036,kandidat00028@email.com,"-6.2088,-106.8176",-6.1808,-106.8176,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,SNBT,
,3729061748901913,BAN-00029,Ilham Maulana,Manajemen,0000003201000029,0000003271000029,0020040130,SMA Negeri 2 Yogyakarta,Proses Verifikasi,4,4,Petani,Petani,3400000,3200000,Banjarmasin,Kalimantan Selatan,Jl. Thamrin No. 030,29000000,1300 VA,62-0000000037,kandidat00029@email.com,"-6.2088,-106.8166",-6.1798,-106.8166,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBT,
,8201962824701912,BAN-00030,Rudi Hermawan,Teknik Informatika,0000003201000030,0000003271000030,0020040131,SMA Negeri 1 Palembang,Tersertifikasi,0,5,Wiraswasta,Ibu Rumah Tangga,3500000,3300000,Jakarta Pusat,DKI Jakarta,Jl. Gatot Subroto No. 031,30000000,2200 VA,62-0000000038,kandidat00030@email.com,"-6.2088,-106.8156",-6.1788,-106.8156,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBT,
,3839741720931328,BAN-00031,Qori Purnomo,Teknik Elektro,0000003201000031,0000003271000031,0020040132,SMA Negeri 4 Makassar,Tidak Tersertifikasi,1,6,PNS,Pedagang,3600000,3400000,Bandung,Jawa Barat,Jl. Jenderal Soedirman No. 032,31000000,3600 VA,62-0000000039,kandidat00031@email.com,"-6.2088,-106.8146",-6.1778,-106.8146,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,SNBT,
,9024374316377639,BAN-00032,Wulan Purnomo,Sistem Informasi,0000003201000032,0000003271000032,0020040133,SMA Negeri 1 Jakarta,Proses Verifikasi,2,3,Pensiunan,Karyawan Swasta,3700000,3500000,Surabaya,Jawa Timur,Jl. Merdeka No. 033,32000000,900 VA,62-0000000040,kandidat00032@email.com,"-6.2088,-106.8136",-6.1768,-106.8136,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,SNBT,
,6531106180963070,BAN-00033,Xander Santoso,Teknik Mesin,0000003201000033,0000003271000033,0020040134,SMA Negeri 3 Bandung,Tersertifikasi,3,4,Pengusaha,PNS,3800000,3600000,Medan,Sumatera Utara,Jl. Diponegoro No. 034,33000000,1300 VA,62-0000000041,kandidat00033@email.com,"-6.2088,-106.8126",-6.1758,-106.8126,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBT,
,3560048460277775,BAN-00034,Novita Lestari,Manajemen,0000003201000034,0000003271000034,0020040135,SMA Negeri 2 Surabaya,Tidak Tersertifikasi,4,5,Buruh,Wiraswasta,3900000,3700000,Semarang,Jawa Tengah,Jl. Gajah Mada No. 035,34000000,2200 VA,62-0000000042,kandidat00034@email.com,"-6.2088,-106.8116",-6.1748,-106.8116,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBT,
,1551673203241857,BAN-00035,Galih Lestari,Teknik Informatika,0000003201000035,0000003271000035,0020040136,SMA Negeri 1 Medan,Proses Verifikasi,0,6,Karyawan Swasta,Petani,4000000,3800000,Yogyakarta,DI Yogyakarta,Jl. Ahmad Yani No. 036,35000000,3600 VA,62-0000000043,kandidat00035@email.com,"-6.2088,-106.8106",-6.1738,-106.8106,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,SNBT,
,6310843925619347,BAN-00036,Novita Purnomo,Teknik Elektro,0000003201000036,0000003271000036,0020040137,SMA Negeri 5 Semarang,Tersertifikasi,1,3,Petani,Ibu Rumah Tangga,4100000,3900000,Palembang,Sumatera Selatan,Jl. Sudirman No. 037,36000000,900 VA,62-0000000044,kandidat00036@email.com,"-6.2088,-106.8096",-6.1728,-106.8096,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,SNBT,
,5047764137548084,BAN-00037,Siti Ramadhan,Sistem Informasi,0000003201000037,0000003271000037,0020040138,SMA Negeri 2 Yogyakarta,Tidak Tersertifikasi,2,4,Wiraswasta,Pedagang,4200000,4000000,Makassar,Sulawesi Selatan,Jl. Thamrin No. 038,37000000,1300 VA,62-0000000045,kandidat00037@email.com,"-6.2088,-106.8086",-6.1718,-106.8086,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBT,
,7725954034973283,BAN-00038,Wini Wahyuni,Teknik Mesin,0000003201000038,0000003271000038,0020040139,SMA Negeri 1 Palembang,Proses Verifikasi,3,5,PNS,Karyawan Swasta,4300000,4100000,Denpasar,Bali,Jl. Gatot Subroto No. 039,38000000,2200 VA,62-0000000046,kandidat00038@email.com,"-6.2088,-106.8076",-6.1708,-106.8076,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBT,
,1232981808556899,BAN-00039,Putri Handayani,Manajemen,0000003201000039,0000003271000039,0020040140,SMA Negeri 4 Makassar,Tersertifikasi,4,6,Pensiunan,PNS,4400000,4200000,Banjarmasin,Kalimantan Selatan,Jl. Jenderal Soedirman No. 040,39000000,3600 VA,62-0000000047,kandidat00039@email.com,"-6.2088,-106.8066",-6.1698,-106.8066,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,SNBT,
,5084949097156022,BAN-00040,Dwi Nugroho,Teknik Informatika,0000003201000040,0000003271000040,0020040141,SMA Negeri 1 Jakarta,Tidak Tersertifikasi,0,3,Pengusaha,Wiraswasta,4500000,300000,Jakarta Pusat,DKI Jakarta,Jl. Merdeka No. 041,40000000,900 VA,62-0000000048,kandidat00040@email.com,"-6.2088,-106.8056",-6.1688,-106.8056,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,SNBT,
,9986442813713793,BAN-00041,Okta Kusuma,Teknik Elektro,0000003201000041,0000003271000041,0020040142,SMA Negeri 3 Bandung,Proses Verifikasi,1,4,Buruh,Petani,4600000,400000,Bandung,Jawa Barat,Jl. Diponegoro No. 042,41000000,1300 VA,62-0000000049,kandidat00041@email.com,"-6.2088,-106.8046",-6.1678,-106.8046,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBT,
,8954536216676539,BAN-00042,Arif Setiawan,Sistem Informasi,0000003201000042,0000003271000042,0020040143,SMA Negeri 2 Surabaya,Tersertifikasi,2,5,Karyawan Swasta,Ibu Rumah Tangga,4700000,500000,Surabaya,Jawa Timur,Jl. Gajah Mada No. 043,42000000,2200 VA,62-0000000050,kandidat00042@email.com,"-6.2088,-106.8036",-6.1668,-106.8036,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBT,
,5644669502146055,BAN-00043,Laras Sirait,Teknik Mesin,0000003201000043,0000003271000043,0020040144,SMA Negeri 1 Medan,Tidak Tersertifikasi,3,6,Petani,Pedagang,4800000,600000,Medan,Sumatera Utara,Jl. Ahmad Yani No. 044,43000000,3600 VA,62-0000000051,kandidat00043@email.com,"-6.2088,-106.8026",-6.1658,-106.8026,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,SNBT,
,7942896580542644,BAN-00044,Fajar Nugroho,Manajemen,0000003201000044,0000003271000044,0020040145,SMA Negeri 5 Semarang,Proses Verifikasi,4,3,Wiraswasta,Karyawan Swasta,4900000,700000,Semarang,Jawa Tengah,Jl. Sudirman No. 045,44000000,900 VA,62-0000000052,kandidat00044@email.com,"-6.2088,-106.8016",-6.1648,-106.8016,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,SNBT,
,9975051271778265,BAN-00045,Kartini Soekarno,Teknik Informatika,0000003201000045,0000003271000045,0020040146,SMA Negeri 2 Yogyakarta,Tersertifikasi,0,4,PNS,PNS,5000000,800000,Yogyakarta,DI Yogyakarta,Jl. Thamrin No. 046,45000000,1300 VA,62-0000000053,kandidat00045@email.com,"-6.2088,-106.8006",-6.1638,-106.8006,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBT,
,8877375357944700,BAN-00046,Ahmad Pratama,Teknik Elektro,0000003201000046,0000003271000046,0020040147,SMA Negeri 1 Palembang,Tidak Tersertifikasi,1,5,Pensiunan,Wiraswasta,5100000,900000,Palembang,Sumatera Selatan,Jl. Gatot Subroto No. 047,46000000,2200 VA,62-0000000054,kandidat00046@email.com,"-6.2088,-106.7996",-6.1628,-106.7996,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBT,
,6049553612859179,BAN-00047,Dewi Hariyanto,Sistem Informasi,0000003201000047,0000003271000047,0020040148,SMA Negeri 4 Makassar,Proses Verifikasi,2,6,Pengusaha,Petani,5200000,1000000,Makassar,Sulawesi Selatan,Jl. Jenderal Soedirman No. 048,47000000,3600 VA,62-0000000055,kandidat00047@email.com,"-6.2088,-106.7986",-6.1618,-106.7986,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,SNBT,
,7577351903666084,BAN-00048,Putra Wibowo,Teknik Mesin,0000003201000048,0000003271000048,0020040149,SMA Negeri 1 Jakarta,Tersertifikasi,3,3,Buruh,Ibu Rumah Tangga,5300000,1100000,Denpasar,Bali,Jl. Merdeka No. 049,48000000,900 VA,62-0000000056,kandidat00048@email.com,"-6.2088,-106.7976",-6.1608,-106.7976,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,SNBT,
,1370204854652191,BAN-00049,Wulan Sirait,Manajemen,0000003201000049,0000003271000049,0020040150,SMA Negeri 3 Bandung,Tidak Tersertifikasi,4,4,Karyawan Swasta,Pedagang,5400000,1200000,Banjarmasin,Kalimantan Selatan,Jl. Diponegoro No. 050,49000000,1300 VA,62-0000000057,kandidat00049@email.com,"-6.2088,-106.7966",-6.1598,-106.7966,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBT,
,2040349074441656,BAN-00050,Fitri Handayani,Teknik Informatika,0000003201000050,0000003271000050,0020040151,SMA Negeri 2 Surabaya,Proses Verifikasi,0,5,Petani,Karyawan Swasta,500000,1300000,Jakarta Pusat,DKI Jakarta,Jl. Gajah Mada No. 051,50000000,2200 VA,62-0000000008,kandidat00050@email.com,"-6.2088,-106.7956",-6.1588,-106.7956,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBT,
,1717415558192133,BAN-00051,Maya Nurhaliza,Teknik Sipil,0000003301000001,0000003371000001,0020050202,SMA Negeri 2 Cirebon,Tersertifikasi,1,5,Petani Padi,Penjual Makanan,500000,350000,Bekasi,Jawa Tengah,Jl. Pendidikan No. 002,800000,900 VA,62-0000000008,snbp00051@email.com,"-7.1315,-110.3987",-7.13,-110.3987,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBP,
,1618805757646817,BAN-00052,Raka Rahmawati,Teknik Industri,0000003301000002,0000003371000002,0020050203,SMA Negeri 3 Pekalongan,Tersertifikasi,2,6,Pedagang Pasar,Asisten Rumah Tangga,600000,450000,Bogor,Jawa Tengah,Jl. Tani No. 003,1600000,1300 VA,62-0000000009,snbp00052@email.com,"-7.1315,-110.3972",-7.1285,-110.3972,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBP,
,9846628767521925,BAN-00053,Kartika Wijayanti,Arsitektur,0000003301000003,0000003371000003,0020050204,SMA Negeri 4 Kudus,Tersertifikasi,3,7,Sopir,Buruh,700000,550000,Cirebon,Jawa Tengah,Jl. Nelayan No. 004,2400000,2200 VA,62-0000000010,snbp00053@email.com,"-7.1315,-110.3957",-7.127,-110.3957,0,,2026-05-12 07:28:15.697161+00,Diundur,,2026-05-12 07:28:15.697161+00,SNBP,
,3545346408343416,BAN-00054,Yunita Rahmawati,Akuntansi,0000003301000004,0000003371000004,0020050205,SMA Negeri 6 Cilacap,Tersertifikasi,4,4,Satpam,Pembuat Kerajinan,800000,650000,Pekalongan,Jawa Tengah,Jl. Bersatu No. 005,3200000,450 VA,62-0000000011,snbp00054@email.com,"-7.1315,-110.3942",-7.1255,-110.3942,0,,2026-05-12 07:28:15.697161+00,Lolos,,2026-05-12 07:28:15.697161+00,SNBP,
,5051397159715043,BAN-00055,Dewi Martini,Teknik Informatika,0000003301000005,0000003371000005,0020050206,SMA Negeri 1 Purwokerto,Tersertifikasi,5,5,Tukang,Penjaga Toko,900000,750000,Semarang,Jawa Tengah,Jl. Kemerdekaan No. 006,4000000,900 VA,62-0000000012,snbp00055@email.com,"-7.1315,-110.3927",-7.124,-110.3927,0,,2026-05-12 07:28:15.697161+00,Tidak Lolos,,2026-05-12 07:28:15.697161+00,SNBP,
,3706604557757028,BAN-00056,Lena Sirait,Teknik Sipil,0000003301000006,0000003371000006,0020050207,SMA Negeri 2 Klaten,Tersertifikasi,0,6,Buruh Bangunan,Ibu Rumah Tangga,1000000,850000,Cilacap,Jawa Tengah,Jl. Pemuda No. 007,4800000,1300 VA,62-0000000013,snbp00056@email.com,"-7.1315,-110.3912",-7.1225,-110.3912,0,,2026-05-12 07:28:15.697161+00,Menunggu,,2026-05-12 07:28:15.697161+00,SNBP,
