No;No. Pendaftaran KIP;Nama Siswa2;Prodi;NIK;No. Kartu Keluarga;NIK Kepala Keluarga;NISN;Status DTKS;Validasi DTKS;Status P3KE;Validasi P3KE;No. KIP;Validasi KIP;No. KKS;Asal Sekolah;Kab/Kota Sekolah;Provinsi Sekolah;Tempat Lahir;Tanggal Lahir;Jenis Kelamin;Alamat Tinggal;No. Handphone;Alamat Email;Alamat IG/ Twitter/ Tiktok;Nama Ayah;Pekerjaan Ayah;Ket. Pekerjaan Ayah;Penghasilan Ayah; Ket. Penghasilan Ayah/ bln ;Status Ayah;Nama Ibu;Pekerjaan Ibu;Ket. Pekerjaan Ibu;Penghasilan Ibu; Ket. Penghasilan Ibu/ bln ;Status Ibu;Wali (jika ada); Penghasilan lain/ bln ;Jumlah Tanggungan;Jml Tanggungan Sebenarnya; Nominal per kapita ;Kepemilikan Rumah;Tahun Perolehan;Sumber Listrik;Luas Tanah;Luas Bangunan;Sumber Air;MCK;Kondisi Rumah;Jarak Pusat Kota (KM);Prestasi;Rekomendasi;Alasan;Nama Pewawancara;Alasan Penguat nanti jadi role model undip
11;1125.203.99962.3714.001;Siswa SNBP 11;S1 ILMU KOMUNIKASI;3308062025506130;3308205565511939;3301849117921298;0095323857;Terdata;ada;Terdata: Desil 2;ada;A1B2C3;ada;KKS007;SMAN 1 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081287337533;siswa11@gmail.com;ig: @siswa11;Nama Ayah;Lainnya;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1023322;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;169875;Hidup;;0;6 Orang;6;198866;Menumpang;1999;PLN;100 - 200 M2;25-50 M2;Sungai/Mata Air;Berbagi Pakai;Layak Menerima Beasiswa;13;Juara 2 Debat Bahasa Indonesia Provinsi;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Dwi Kurniawan;Siswa SNBP berprestasi, tekad kuat.
12;1125.203.99971.1645.001;Siswa SNBP 12;S1 TEKNIK SIPIL;3305848304798828;3309100488427122;3305301357024079;0063396016;Terdata;ada;Terdata: Desil 1;ada;A1B2C8;ada;KKS002;SMAN 2 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081276958596;siswa12@gmail.com;ig: @siswa12;Nama Ayah;Wirausaha;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1401337;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;197326;Hidup;;0;6 Orang;6;266443;Menumpang;2016;PLN;< 25 M2;>200 M2;PDAM;Kepemilikan Sendiri Didalam;Layak Menerima Beasiswa;10;Juara 1 Lomba KTI Nasional;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Rina Amelia;Siswa SNBP berprestasi, tekad kuat.
13;1125.203.99937.9573.001;Siswa SNBP 13;S1 ILMU HUKUM;3305639587065402;3302367870458195;3305629427043468;0092335821;Terdata;ada;Terdata: Desil 2;ada;A1B2C2;ada;KKS007;SMAN 5 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081222828640;siswa13@gmail.com;ig: @siswa13;Nama Ayah;Lainnya;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1020787;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;401988;Hidup;;0;5 Orang;5;284555;Sendiri;2005;PLN;>200 M2;100 - 200 M2;Sungai/Mata Air;Berbagi Pakai;Layak Menerima Beasiswa;48;Juara 1 FLS2N Tingkat Nasional;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Andi Pratama;Siswa SNBP berprestasi, tekad kuat.
14;1125.203.99939.3719.001;Siswa SNBP 14;S1 TEKNIK SIPIL;3301407207410077;3302328411790913;3302190673684442;0097166596;Belum Terdata;tidak ada;Terdata: Desil 7;tidak ada;-;tidak ada;-;SMAN 5 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081273044419;siswa14@gmail.com;ig: @siswa14;Nama Ayah;TIDAK BEKERJA;Pekerjaan Detail;> Rp. 3.000.000;4257644;Hidup;Nama Ibu;Wirausaha;Pekerja;> Rp. 2.000.000;2642565;Hidup;;0;5 Orang;5;1380041;Sendiri;2002;PLN;50-99 M2;50-99 M2;Sungai/Mata Air;Kepemilikan Sendiri Didalam;Tidak Layak Menerima Beasiswa;30;Juara 1 Lomba KTI Nasional;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Budi Santoso;Mampu membayar UKT mandiri.
15;1125.203.99990.5702.001;Siswa SNBP 15;S1 ILMU HUKUM;3301569066118859;3308434434838075;3305898687520400;0019026348;Belum Terdata;tidak ada;Terdata: Desil 7;tidak ada;-;tidak ada;-;SMAN 2 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081295562065;siswa15@gmail.com;ig: @siswa15;Nama Ayah;TIDAK BEKERJA;Pekerjaan Detail;> Rp. 3.000.000;3368129;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;709410;Hidup;;0;6 Orang;6;679589;Sendiri;2021;PLN;25-50 M2;25-50 M2;Sungai/Mata Air;Kepemilikan Sendiri Didalam;Tidak Layak Menerima Beasiswa;41;Medali Emas Olimpiade Sains Nasional;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Andi Pratama;Mampu membayar UKT mandiri.
16;1125.203.99987.1162.001;Siswa SNBP 16;S1 TEKNIK SIPIL;3304835307170700;3307612395663412;3304437156597478;0033422650;Terdata;ada;Terdata: Desil 3;ada;A1B2C8;ada;KKS007;SMAN 2 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081297914639;siswa16@gmail.com;ig: @siswa16;Nama Ayah;Wirausaha;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1346446;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;373945;Hidup;;0;5 Orang;5;344078;Menumpang;1990;PLN;< 25 M2;50-99 M2;Sungai/Mata Air;Berbagi Pakai;Layak Menerima Beasiswa;28;Juara Umum 1 Paralel Sekolah;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Andi Pratama;Siswa SNBP berprestasi, tekad kuat.
17;1125.203.99924.3851.001;Siswa SNBP 17;S1 TEKNIK SIPIL;3301668237085417;3303959552817561;3306767103843220;0044164776;Belum Terdata;tidak ada;Belum Terdata;tidak ada;-;tidak ada;-;SMAN 3 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081267344933;siswa17@gmail.com;ig: @siswa17;Nama Ayah;Petani;Pekerjaan Detail;> Rp. 3.000.000;5898531;Hidup;Nama Ibu;Peg. Swasta;Pekerja;> Rp. 2.000.000;2552624;Hidup;;0;6 Orang;6;1408525;Sendiri;2011;PLN;50-99 M2;25-50 M2;Sungai/Mata Air;Berbagi Pakai;Tidak Layak Menerima Beasiswa;37;Juara 2 Debat Bahasa Indonesia Provinsi;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Siska Nurul;Mampu membayar UKT mandiri.
18;1125.203.99924.3053.001;Siswa SNBP 18;S1 ILMU KOMUNIKASI;3307126515715453;3309773499100710;3307738708521943;0057227980;Terdata;ada;Terdata: Desil 2;ada;A1B2C8;ada;KKS009;SMAN 4 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081212450145;siswa18@gmail.com;ig: @siswa18;Nama Ayah;Buruh Harian;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;573231;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;387276;Hidup;;0;3 Orang;3;320169;Sendiri;2009;PLN;25-50 M2;100 - 200 M2;Sumur;Berbagi Pakai;Layak Menerima Beasiswa;31;Juara 1 Lomba KTI Nasional;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Siska Nurul;Siswa SNBP berprestasi, tekad kuat.
19;1125.203.99919.1770.001;Siswa SNBP 19;S1 KEDOKTERAN;3308296194733339;3309527114721479;3308624960711956;0016493126;Terdata;ada;Terdata: Desil 2;ada;A1B2C9;ada;KKS009;SMAN 3 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081216167390;siswa19@gmail.com;ig: @siswa19;Nama Ayah;Buruh Harian;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1127584;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;106445;Hidup;;0;4 Orang;4;308507;Sendiri;2004;PLN;100 - 200 M2;>200 M2;Sungai/Mata Air;Berbagi Pakai;Layak Menerima Beasiswa;9;Juara Umum 1 Paralel Sekolah;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Siska Nurul;Siswa SNBP berprestasi, tekad kuat.
20;1125.203.99994.7627.001;Siswa SNBP 20;S1 MANAJEMEN;3309330039878980;3303270158251578;3303484866281399;0068519531;Belum Terdata;tidak ada;Belum Terdata;tidak ada;-;tidak ada;-;SMAN 1 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081285396181;siswa20@gmail.com;ig: @siswa20;Nama Ayah;Petani;Pekerjaan Detail;> Rp. 3.000.000;7507037;Hidup;Nama Ibu;Peg. Swasta;Pekerja;> Rp. 2.000.000;2083850;Hidup;;0;6 Orang;6;1598481;Sendiri;2021;PLN;50-99 M2;25-50 M2;PDAM;Berbagi Pakai;Tidak Layak Menerima Beasiswa;30;Juara 1 FLS2N Tingkat Nasional;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Budi Santoso;Mampu membayar UKT mandiri.
21;1125.203.99999.8081.001;Siswa SNBP 21;S1 TEKNIK SIPIL;3305476802762209;3308128798927460;3309911985195046;0066344324;Terdata;ada;Terdata: Desil 3;ada;A1B2C1;ada;KKS008;SMAN 3 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081260758541;siswa21@gmail.com;ig: @siswa21;Nama Ayah;Petani;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;897101;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;483370;Hidup;;0;2 Orang;2;690235;Sewa Bulanan;1994;PLN;>200 M2;100 - 200 M2;PDAM;Kepemilikan Sendiri Didalam;Layak Menerima Beasiswa;47;Juara Umum 1 Paralel Sekolah;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Rina Amelia;Siswa SNBP berprestasi, tekad kuat.
22;1125.203.99926.3930.001;Siswa SNBP 22;S1 TEKNIK SIPIL;3309917698998681;3301432722956691;3309476671535394;0060461755;Terdata;ada;Terdata: Desil 4;ada;A1B2C5;ada;KKS002;SMAN 1 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081274643560;siswa22@gmail.com;ig: @siswa22;Nama Ayah;Peg. Swasta;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1348641;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;3100;Hidup;;0;6 Orang;6;225290;Sewa Bulanan;2018;PLN;50-99 M2;25-50 M2;Sumur;Berbagi Pakai;Layak Menerima Beasiswa;28;Medali Emas Olimpiade Sains Nasional;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Siska Nurul;Siswa SNBP berprestasi, tekad kuat.
23;1125.203.99980.3955.001;Siswa SNBP 23;S1 TEKNIK SIPIL;3307198424701729;3308434100248640;3306030781696234;0041698357;Belum Terdata;tidak ada;Terdata: Desil 6;tidak ada;-;tidak ada;-;SMAN 2 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081244672974;siswa23@gmail.com;ig: @siswa23;Nama Ayah;Petani;Pekerjaan Detail;> Rp. 3.000.000;3324028;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;71808;Hidup;;0;4 Orang;4;848959;Sendiri;2011;PLN;100 - 200 M2;< 25 M2;Sungai/Mata Air;Berbagi Pakai;Tidak Layak Menerima Beasiswa;32;Medali Emas Olimpiade Sains Nasional;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Andi Pratama;Mampu membayar UKT mandiri.
24;1125.203.99936.2364.001;Siswa SNBP 24;S1 AKUNTANSI;3301385444068372;3305952299605767;3303849837551555;0090431108;Terdata;ada;Terdata: Desil 2;ada;A1B2C1;ada;KKS003;SMAN 2 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081280019975;siswa24@gmail.com;ig: @siswa24;Nama Ayah;Petani;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;846199;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;346260;Hidup;;0;6 Orang;6;198743;Menumpang;2017;PLN;50-99 M2;100 - 200 M2;Sungai/Mata Air;Kepemilikan Sendiri Diluar;Layak Menerima Beasiswa;13;Juara Umum 1 Paralel Sekolah;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Andi Pratama;Siswa SNBP berprestasi, tekad kuat.
25;1125.203.99970.1140.001;Siswa SNBP 25;S1 ILMU KOMUNIKASI;3301493719893646;3309592141254788;3307256169397977;0089136354;Belum Terdata;tidak ada;Belum Terdata;tidak ada;-;tidak ada;-;SMAN 4 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081268243551;siswa25@gmail.com;ig: @siswa25;Nama Ayah;Lainnya;Pekerjaan Detail;> Rp. 3.000.000;4719901;Hidup;Nama Ibu;Wirausaha;Pekerja;> Rp. 2.000.000;1356965;Hidup;;0;6 Orang;6;1012811;Sendiri;2014;PLN;25-50 M2;< 25 M2;Sumur;Kepemilikan Sendiri Diluar;Tidak Layak Menerima Beasiswa;18;Juara 1 Lomba KTI Nasional;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Dwi Kurniawan;Mampu membayar UKT mandiri.
26;1125.203.99948.4067.001;Siswa SNBP 26;S1 ILMU HUKUM;3303371864927511;3302334911628214;3304081032060660;0011992449;Terdata;ada;Terdata: Desil 3;ada;A1B2C2;ada;KKS003;SMAN 3 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081271079578;siswa26@gmail.com;ig: @siswa26;Nama Ayah;Petani;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;840980;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;172935;Hidup;;0;2 Orang;2;506957;Sewa Tahunan;2002;PLN;< 25 M2;50-99 M2;Sungai/Mata Air;Kepemilikan Sendiri Didalam;Layak Menerima Beasiswa;21;Eligible 1 Rumpun Saintek;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Rina Amelia;Siswa SNBP berprestasi, tekad kuat.
27;1125.203.99939.5403.001;Siswa SNBP 27;S1 ILMU HUKUM;3304409112679196;3303850082913180;3303623197744462;0050404698;Terdata;ada;Terdata: Desil 1;ada;A1B2C8;ada;KKS001;SMAN 3 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081233410180;siswa27@gmail.com;ig: @siswa27;Nama Ayah;Petani;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;630892;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;269608;Hidup;;0;5 Orang;5;180100;Sewa Tahunan;2019;PLN;25-50 M2;50-99 M2;PDAM;Kepemilikan Sendiri Didalam;Layak Menerima Beasiswa;36;Juara 1 Lomba KTI Nasional;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Budi Santoso;Siswa SNBP berprestasi, tekad kuat.
28;1125.203.99963.4624.001;Siswa SNBP 28;S1 TEKNIK SIPIL;3305162319003585;3301144331932742;3304635822237723;0021413230;Terdata;ada;Terdata: Desil 1;ada;A1B2C1;ada;KKS007;SMAN 3 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081266994371;siswa28@gmail.com;ig: @siswa28;Nama Ayah;Wirausaha;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;713659;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;339579;Hidup;;0;5 Orang;5;210647;Sewa Tahunan;2007;PLN;25-50 M2;100 - 200 M2;PDAM;Kepemilikan Sendiri Didalam;Layak Menerima Beasiswa;41;Juara 1 FLS2N Tingkat Nasional;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Budi Santoso;Siswa SNBP berprestasi, tekad kuat.
